Program,Testcase,Iteration,Round,Time,Type
quick2.c,400,1,2,0.0029401779174804688,Random
merge.c,400,1,2,0.0029740333557128906,Random
quick2.c,400,1,3,0.002424955368041992,Random
merge.c,400,1,3,0.0027647018432617188,Random
quick2.c,400,1,4,0.0025129318237304688,Random
merge.c,400,1,4,0.0023431777954101562,Random
quick2.c,400,0,0,0.0030107498168945312,Sorted
merge.c,400,0,0,0.003300189971923828,Sorted
quick2.c,400,0,1,0.002813100814819336,Sorted
merge.c,400,0,1,0.0026171207427978516,Sorted
quick2.c,400,0,2,0.0024421215057373047,Sorted
merge.c,400,0,2,0.002269268035888672,Sorted
quick2.c,400,0,3,0.003632783889770508,Sorted
merge.c,400,0,3,0.0031366348266601562,Sorted
quick2.c,400,0,4,0.00267791748046875,Sorted
merge.c,400,0,4,0.0022640228271484375,Sorted
quick2.c,400,0,0,0.0023338794708251953,Reverse
merge.c,400,0,0,0.002252817153930664,Reverse
quick2.c,400,0,1,0.002918243408203125,Reverse
merge.c,400,0,1,0.0031058788299560547,Reverse
quick2.c,400,0,2,0.002936124801635742,Reverse
merge.c,400,0,2,0.0024650096893310547,Reverse
quick2.c,400,0,3,0.002357006072998047,Reverse
merge.c,400,0,3,0.0022499561309814453,Reverse
quick2.c,400,0,4,0.002786874771118164,Reverse
merge.c,400,0,4,0.0030989646911621094,Reverse
quick2.c,400,0,0,0.003016233444213867,BestQuick
merge.c,400,0,0,0.0023488998413085938,BestQuick
quick2.c,400,0,1,0.002319812774658203,BestQuick
merge.c,400,0,1,0.002286195755004883,BestQuick
quick2.c,400,0,2,0.002552032470703125,BestQuick
merge.c,400,0,2,0.0031659603118896484,BestQuick
quick2.c,400,0,3,0.002978801727294922,BestQuick
merge.c,400,0,3,0.0026428699493408203,BestQuick
quick2.c,400,0,4,0.0032389163970947266,BestQuick
merge.c,400,0,4,0.003554821014404297,BestQuick
quick2.c,600,0,0,0.003267049789428711,Random
merge.c,600,0,0,0.0032851696014404297,Random
quick2.c,600,0,1,0.002496004104614258,Random
merge.c,600,0,1,0.0024251937866210938,Random
quick2.c,600,0,2,0.0023469924926757812,Random
merge.c,600,0,2,0.0024292469024658203,Random
quick2.c,600,0,3,0.0032927989959716797,Random
merge.c,600,0,3,0.002964019775390625,Random
quick2.c,600,0,4,0.0027780532836914062,Random
merge.c,600,0,4,0.0026891231536865234,Random
quick2.c,600,1,0,0.0023818016052246094,Random
merge.c,600,1,0,0.002313852310180664,Random
quick2.c,600,1,1,0.0033447742462158203,Random
merge.c,600,1,1,0.003170013427734375,Random
quick2.c,600,1,2,0.002635955810546875,Random
merge.c,600,1,2,0.002377033233642578,Random
quick2.c,600,1,3,0.0023050308227539062,Random
merge.c,600,1,3,0.0023140907287597656,Random
quick2.c,600,1,4,0.0033769607543945312,Random
merge.c,600,1,4,0.003200054168701172,Random
quick2.c,600,0,0,0.0026862621307373047,Sorted
merge.c,600,0,0,0.002398967742919922,Sorted
quick2.c,600,0,1,0.0026140213012695312,Sorted
merge.c,600,0,1,0.002744913101196289,Sorted
quick2.c,600,0,2,0.004082202911376953,Sorted
merge.c,600,0,2,0.003081798553466797,Sorted
quick2.c,600,0,3,0.0025780200958251953,Sorted
merge.c,600,0,3,0.002386808395385742,Sorted
quick2.c,600,0,4,0.002526998519897461,Sorted
merge.c,600,0,4,0.002482891082763672,Sorted
quick2.c,600,0,0,0.0033333301544189453,Reverse
merge.c,600,0,0,0.003063201904296875,Reverse
quick2.c,600,0,1,0.0026001930236816406,Reverse
merge.c,600,0,1,0.002311229705810547,Reverse
quick2.c,600,0,2,0.0024788379669189453,Reverse
merge.c,600,0,2,0.0025501251220703125,Reverse
quick2.c,600,0,3,0.003576040267944336,Reverse
merge.c,600,0,3,0.0030379295349121094,Reverse
quick2.c,600,0,4,0.0027861595153808594,Reverse
merge.c,600,0,4,0.002416849136352539,Reverse
quick2.c,600,0,0,0.0024118423461914062,BestQuick
merge.c,600,0,0,0.0022721290588378906,BestQuick
quick2.c,600,0,1,0.0035660266876220703,BestQuick
merge.c,600,0,1,0.0030128955841064453,BestQuick
quick2.c,600,0,2,0.0024738311767578125,BestQuick
merge.c,600,0,2,0.0024099349975585938,BestQuick
quick2.c,600,0,3,0.002316713333129883,BestQuick
merge.c,600,0,3,0.002270936965942383,BestQuick
quick2.c,600,0,4,0.003364086151123047,BestQuick
merge.c,600,0,4,0.0033228397369384766,BestQuick
quick2.c,800,0,0,0.0029671192169189453,Random
merge.c,800,0,0,0.0033872127532958984,Random
quick2.c,800,0,1,0.0026810169219970703,Random
merge.c,800,0,1,0.0036368370056152344,Random
quick2.c,800,0,2,0.0034151077270507812,Random
merge.c,800,0,2,0.002574920654296875,Random
quick2.c,800,0,3,0.0023751258850097656,Random
merge.c,800,0,3,0.002788066864013672,Random
quick2.c,800,0,4,0.003743886947631836,Random
merge.c,800,0,4,0.003262758255004883,Random
quick2.c,800,1,0,0.003114938735961914,Random
merge.c,800,1,0,0.002855062484741211,Random
quick2.c,800,1,1,0.0027740001678466797,Random
merge.c,800,1,1,0.0029578208923339844,Random
quick2.c,800,1,2,0.0040400028228759766,Random
merge.c,800,1,2,0.0032269954681396484,Random
quick2.c,800,1,3,0.0027458667755126953,Random
merge.c,800,1,3,0.002608060836791992,Random
quick2.c,800,1,4,0.0025892257690429688,Random
merge.c,800,1,4,0.003534078598022461,Random
quick2.c,800,0,0,0.00399470329284668,Sorted
merge.c,800,0,0,0.0026640892028808594,Sorted
quick2.c,800,0,1,0.0027332305908203125,Sorted
merge.c,800,0,1,0.0024461746215820312,Sorted
quick2.c,800,0,2,0.0026090145111083984,Sorted
merge.c,800,0,2,0.003549814224243164,Sorted
quick2.c,800,0,3,0.003100872039794922,Sorted
merge.c,800,0,3,0.0028798580169677734,Sorted
quick2.c,800,0,4,0.0026972293853759766,Sorted
merge.c,800,0,4,0.002391815185546875,Sorted
quick2.c,800,0,0,0.0026428699493408203,Reverse
merge.c,800,0,0,0.0035927295684814453,Reverse
quick2.c,800,0,1,0.0034019947052001953,Reverse
merge.c,800,0,1,0.00261688232421875,Reverse
quick2.c,800,0,2,0.0026061534881591797,Reverse
merge.c,800,0,2,0.0024569034576416016,Reverse
quick2.c,800,0,3,0.0037262439727783203,Reverse
merge.c,800,0,3,0.004118919372558594,Reverse
quick2.c,800,0,4,0.0038938522338867188,Reverse
merge.c,800,0,4,0.0033740997314453125,Reverse
quick2.c,800,0,0,0.0024881362915039062,BestQuick
merge.c,800,0,0,0.004253864288330078,BestQuick
quick2.c,800,0,1,0.003631114959716797,BestQuick
merge.c,800,0,1,0.0025451183319091797,BestQuick
quick2.c,800,0,2,0.002422809600830078,BestQuick
merge.c,800,0,2,0.002398967742919922,BestQuick
quick2.c,800,0,3,0.003595113754272461,BestQuick
merge.c,800,0,3,0.00308990478515625,BestQuick
quick2.c,800,0,4,0.0030181407928466797,BestQuick
merge.c,800,0,4,0.0027227401733398438,BestQuick
quick2.c,1000,0,0,0.0025370121002197266,Random
merge.c,1000,0,0,0.0024950504302978516,Random
quick2.c,1000,0,1,0.0032062530517578125,Random
merge.c,1000,0,1,0.002474069595336914,Random
quick2.c,1000,0,2,0.0027251243591308594,Random
merge.c,1000,0,2,0.002583742141723633,Random
quick2.c,1000,0,3,0.002527952194213867,Random
merge.c,1000,0,3,0.002543210983276367,Random
quick2.c,1000,0,4,0.0024881362915039062,Random
merge.c,1000,0,4,0.002936840057373047,Random
quick2.c,1000,1,0,0.0025861263275146484,Random
merge.c,1000,1,0,0.0023970603942871094,Random
quick2.c,1000,1,1,0.002363920211791992,Random
merge.c,1000,1,1,0.0024552345275878906,Random
quick2.c,1000,1,2,0.002583026885986328,Random
merge.c,1000,1,2,0.002458810806274414,Random
quick2.c,1000,1,3,0.002337932586669922,Random
merge.c,1000,1,3,0.002499103546142578,Random
quick2.c,1000,1,4,0.0024900436401367188,Random
merge.c,1000,1,4,0.0023877620697021484,Random
quick2.c,1000,0,0,0.0025632381439208984,Sorted
merge.c,1000,0,0,0.0023670196533203125,Sorted
quick2.c,1000,0,1,0.0030307769775390625,Sorted
merge.c,1000,0,1,0.0028111934661865234,Sorted
quick2.c,1000,0,2,0.0026772022247314453,Sorted
merge.c,1000,0,2,0.0023670196533203125,Sorted
quick2.c,1000,0,3,0.002622842788696289,Sorted
merge.c,1000,0,3,0.002315998077392578,Sorted
quick2.c,1000,0,4,0.0032761096954345703,Sorted
merge.c,1000,0,4,0.0029120445251464844,Sorted
quick2.c,1000,0,0,0.003072977066040039,Reverse
merge.c,1000,0,0,0.002502918243408203,Reverse
quick2.c,1000,0,1,0.003136873245239258,Reverse
merge.c,1000,0,1,0.003111124038696289,Reverse
quick2.c,1000,0,2,0.00345611572265625,Reverse
merge.c,1000,0,2,0.002508878707885742,Reverse
quick2.c,1000,0,3,0.0028591156005859375,Reverse
merge.c,1000,0,3,0.002353191375732422,Reverse
quick2.c,1000,0,4,0.003206968307495117,Reverse
merge.c,1000,0,4,0.0036101341247558594,Reverse
quick2.c,1000,0,0,0.002946138381958008,BestQuick
merge.c,1000,0,0,0.0023941993713378906,BestQuick
quick2.c,1000,0,1,0.0025391578674316406,BestQuick
merge.c,1000,0,1,0.0023949146270751953,BestQuick
quick2.c,1000,0,2,0.002485036849975586,BestQuick
merge.c,1000,0,2,0.003515958786010742,BestQuick
quick2.c,1000,0,3,0.003554105758666992,BestQuick
merge.c,1000,0,3,0.0029108524322509766,BestQuick
quick2.c,1000,0,4,0.0026030540466308594,BestQuick
merge.c,1000,0,4,0.0024139881134033203,BestQuick
quick2.c,1200,0,0,0.003702878952026367,Random
merge.c,1200,0,0,0.0034592151641845703,Random
quick2.c,1200,0,1,0.0026700496673583984,Random
merge.c,1200,0,1,0.002511739730834961,Random
quick2.c,1200,0,2,0.0024538040161132812,Random
