Program,Testcase,Memory
bubble.c,50700,3617000
selection.c,50700,3665000
insertion.c,50700,3553000
bubble.c,51200,3649000
selection.c,51200,3697000
insertion.c,51200,3665000
bubble.c,51700,3649000
selection.c,51700,3649000
insertion.c,51700,3713000
bubble.c,52200,3713000
selection.c,52200,3569000
insertion.c,52200,3681000
bubble.c,52700,3649000
selection.c,52700,3601000
insertion.c,52700,3617000
bubble.c,53200,3681000
selection.c,53200,3697000
insertion.c,53200,3665000
bubble.c,53700,3633000
selection.c,53700,3649000
insertion.c,53700,3537000
bubble.c,54200,3601000
selection.c,54200,3601000
insertion.c,54200,3617000
bubble.c,54700,3713000
selection.c,54700,3697000
insertion.c,54700,3553000
bubble.c,55200,3665000
selection.c,55200,3633000
insertion.c,55200,3601000
bubble.c,55700,3633000
selection.c,55700,3617000
insertion.c,55700,3681000
bubble.c,56200,3601000
selection.c,56200,3553000
insertion.c,56200,3553000
bubble.c,56700,3649000
selection.c,56700,3649000
insertion.c,56700,3585000
bubble.c,57200,3713000
selection.c,57200,3569000
insertion.c,57200,3617000
bubble.c,57700,3681000
selection.c,57700,3713000
insertion.c,57700,3633000
bubble.c,58200,3649000
selection.c,58200,3649000
insertion.c,58200,3633000
bubble.c,58700,3601000
selection.c,58700,3713000
insertion.c,58700,3649000
bubble.c,59200,3729000
selection.c,59200,3649000
insertion.c,59200,3649000
bubble.c,59700,3665000
selection.c,59700,3649000
insertion.c,59700,3713000
bubble.c,60200,3553000
selection.c,60200,3649000
insertion.c,60200,3713000
bubble.c,60700,3681000
selection.c,60700,3649000
insertion.c,60700,3649000
bubble.c,61200,3633000
selection.c,61200,3665000
insertion.c,61200,3697000
bubble.c,61700,3617000
selection.c,61700,3729000
insertion.c,61700,3713000
bubble.c,62200,3713000
selection.c,62200,3665000
insertion.c,62200,3745000
bubble.c,62700,3665000
selection.c,62700,3713000
insertion.c,62700,3633000
bubble.c,63200,3601000
selection.c,63200,3681000
insertion.c,63200,3633000
bubble.c,63700,3697000
selection.c,63700,3713000
insertion.c,63700,3649000
bubble.c,64200,3601000
selection.c,64200,3649000
insertion.c,64200,3681000
bubble.c,64700,3665000
selection.c,64700,3649000
insertion.c,64700,3697000
bubble.c,65200,3697000
selection.c,65200,3665000
insertion.c,65200,3665000
bubble.c,65700,3761000
selection.c,65700,3729000
insertion.c,65700,3697000
bubble.c,66200,3633000
selection.c,66200,3761000
insertion.c,66200,3713000
bubble.c,66700,3665000
selection.c,66700,3697000
insertion.c,66700,3745000
bubble.c,67200,3681000
selection.c,67200,3681000
insertion.c,67200,3681000
bubble.c,67700,3713000
selection.c,67700,3745000
insertion.c,67700,3681000
bubble.c,68200,3729000
selection.c,68200,3713000
insertion.c,68200,3745000
bubble.c,68700,3745000
selection.c,68700,3697000
insertion.c,68700,3649000
bubble.c,69200,3713000
selection.c,69200,3745000
insertion.c,69200,3713000
bubble.c,69700,3649000
selection.c,69700,3713000
insertion.c,69700,3697000
bubble.c,70200,3681000
