Program,Testcase,Iteration,Round,Time,Type
bubble.c,1,0,4,0.0050013065338134766,Sorted
insertion.c,1,0,4,0.005509614944458008,Sorted
selection.c,1,0,4,0.005998373031616211,Sorted
bubble.c,1,0,0,0.0065152645111083984,Reverse
insertion.c,1,0,0,0.004503965377807617,Reverse
selection.c,1,0,0,0.006005048751831055,Reverse
bubble.c,1,0,1,0.006014823913574219,Reverse
insertion.c,1,0,1,0.0050048828125,Reverse
selection.c,1,0,1,0.005510091781616211,Reverse
bubble.c,1,0,2,0.0050008296966552734,Reverse
insertion.c,1,0,2,0.005510091781616211,Reverse
selection.c,1,0,2,0.005001544952392578,Reverse
bubble.c,1,0,3,0.0053708553314208984,Reverse
insertion.c,1,0,3,0.004999399185180664,Reverse
selection.c,1,0,3,0.005509614944458008,Reverse
bubble.c,1,0,4,0.006001949310302734,Reverse
insertion.c,1,0,4,0.0060558319091796875,Reverse
selection.c,1,0,4,0.0051691532135009766,Reverse
bubble.c,0,0,0,0.005002021789550781,Random
insertion.c,0,0,0,0.005299806594848633,Random
selection.c,0,0,0,0.004999637603759766,Random
bubble.c,0,0,1,0.005508899688720703,Random
insertion.c,0,0,1,0.00500035285949707,Random
selection.c,0,0,1,0.005510807037353516,Random
bubble.c,0,0,2,0.004999876022338867,Random
insertion.c,0,0,2,0.004761934280395508,Random
selection.c,0,0,2,0.004999637603759766,Random
bubble.c,0,0,3,0.0044515132904052734,Random
insertion.c,0,0,3,0.00500035285949707,Random
selection.c,0,0,3,0.0055084228515625,Random
bubble.c,0,0,4,0.00500035285949707,Random
insertion.c,0,0,4,0.005046367645263672,Random
selection.c,0,0,4,0.004999637603759766,Random
bubble.c,0,1,0,0.0053558349609375,Random
insertion.c,0,1,0,0.004504203796386719,Random
selection.c,0,1,0,0.005009651184082031,Random
bubble.c,0,1,1,0.004000425338745117,Random
insertion.c,0,1,1,0.0050334930419921875,Random
selection.c,0,1,1,0.006124019622802734,Random
bubble.c,0,1,2,0.0050013065338134766,Random
insertion.c,0,1,2,0.004268169403076172,Random
