Program,Testcase,Type,Iteration,Time,Program_Type
bubble.c,9600,sorted,1.5,188.55696916580175,bubble.c sorted
bubble.c,9800,random,0.5,429.00764942169246,bubble.c random
bubble.c,9800,reverse,1.5,300.61149597167974,bubble.c reverse
bubble.c,9800,sorted,1.5,186.877191066742,bubble.c sorted
bubble.c,10000,random,0.5,365.49857258796703,bubble.c random
bubble.c,10000,reverse,1.5,299.0671396255495,bubble.c reverse
bubble.c,10000,sorted,1.5,231.20766878128052,bubble.c sorted
bubble.c,10200,random,0.5,363.62329125404364,bubble.c random
bubble.c,10200,reverse,1.5,318.659961223602,bubble.c reverse
bubble.c,10200,sorted,1.5,222.07301855087275,bubble.c sorted
bubble.c,10400,random,0.5,373.67868423461914,bubble.c random
bubble.c,10400,reverse,1.5,330.7332992553712,bubble.c reverse
bubble.c,10400,sorted,1.5,230.23116588592552,bubble.c sorted
bubble.c,10600,random,0.5,405.88361024856573,bubble.c random
bubble.c,10600,reverse,1.5,333.32926034927374,bubble.c reverse
bubble.c,10600,sorted,1.5,287.3650193214415,bubble.c sorted
bubble.c,10800,random,0.5,414.14108872413635,bubble.c random
bubble.c,10800,reverse,1.5,380.39422035217274,bubble.c reverse
bubble.c,10800,sorted,1.5,255.210280418396,bubble.c sorted
bubble.c,11000,random,0.5,421.06300592422485,bubble.c random
bubble.c,11000,reverse,1.5,425.71377754211426,bubble.c reverse
bubble.c,11000,sorted,1.5,234.28583145141602,bubble.c sorted
bubble.c,11200,random,0.5,429.5085072517394,bubble.c random
bubble.c,11200,reverse,1.5,357.9878807067873,bubble.c reverse
bubble.c,11200,sorted,1.5,230.30644655227675,bubble.c sorted
bubble.c,11400,random,0.5,422.6369261741639,bubble.c random
bubble.c,11400,reverse,1.5,412.042498588562,bubble.c reverse
bubble.c,11400,sorted,1.5,269.4244980812073,bubble.c sorted
bubble.c,11600,random,0.5,429.61010336875927,bubble.c random
bubble.c,11600,reverse,1.5,372.9040026664733,bubble.c reverse
bubble.c,11600,sorted,1.5,251.13236904144298,bubble.c sorted
bubble.c,11800,random,0.5,460.04951000213623,bubble.c random
bubble.c,11800,reverse,1.5,366.4060831069945,bubble.c reverse
bubble.c,11800,sorted,1.5,297.56653308868397,bubble.c sorted
bubble.c,12000,random,0.5,476.4820933341979,bubble.c random
bubble.c,12000,reverse,1.5,400.3085494041445,bubble.c reverse
bubble.c,12000,sorted,1.5,265.0561928749085,bubble.c sorted
bubble.c,12200,random,0.5,481.9143712520599,bubble.c random
bubble.c,12200,reverse,1.5,445.43087482452376,bubble.c reverse
bubble.c,12200,sorted,1.5,302.5256991386415,bubble.c sorted
bubble.c,12400,random,0.5,538.5404527187349,bubble.c random
bubble.c,12400,reverse,1.5,463.64742517471325,bubble.c reverse
bubble.c,12400,sorted,1.5,285.5209708213805,bubble.c sorted
bubble.c,12600,random,0.5,510.5454623699189,bubble.c random
bubble.c,12600,reverse,1.5,426.35184526443476,bubble.c reverse
bubble.c,12600,sorted,1.5,334.371268749237,bubble.c sorted
bubble.c,12800,random,0.5,570.9116160869598,bubble.c random
bubble.c,12800,reverse,1.5,429.5670986175537,bubble.c reverse
bubble.c,12800,sorted,1.5,282.71335363388073,bubble.c sorted
bubble.c,13000,random,0.5,554.6856522560122,bubble.c random
bubble.c,13000,reverse,1.5,441.54769182205223,bubble.c reverse
bubble.c,13000,sorted,1.5,311.0530376434325,bubble.c sorted
bubble.c,13200,random,0.5,560.0388050079346,bubble.c random
bubble.c,13200,reverse,1.5,440.1646256446837,bubble.c reverse
bubble.c,13200,sorted,1.5,302.4627566337588,bubble.c sorted
bubble.c,13400,random,0.5,1154.6252965927129,bubble.c random
bubble.c,13400,reverse,1.5,475.1362204551695,bubble.c reverse
bubble.c,13400,sorted,1.5,355.31693696975725,bubble.c sorted
bubble.c,13600,random,0.5,562.7721250057222,bubble.c random
bubble.c,13600,reverse,1.5,476.29123926162725,bubble.c reverse
bubble.c,13600,sorted,1.5,378.96794080734276,bubble.c sorted
bubble.c,13800,random,0.5,593.8950181007385,bubble.c random
bubble.c,13800,reverse,1.5,481.823980808258,bubble.c reverse
bubble.c,13800,sorted,1.5,327.05491781234724,bubble.c sorted
bubble.c,14000,random,0.5,605.5937111377716,bubble.c random
bubble.c,14000,reverse,1.5,495.587408542633,bubble.c reverse
bubble.c,14000,sorted,1.5,324.39434528350824,bubble.c sorted
bubble.c,14200,random,0.5,621.4179694652557,bubble.c random
bubble.c,14200,reverse,1.5,517.8730487823487,bubble.c reverse
bubble.c,14200,sorted,1.5,336.2883329391477,bubble.c sorted
bubble.c,14400,random,0.5,665.1383638381957,bubble.c random
bubble.c,14400,reverse,1.5,552.7064204216006,bubble.c reverse
bubble.c,14400,sorted,1.5,410.93528270721424,bubble.c sorted
bubble.c,14600,random,0.5,651.2924730777743,bubble.c random
bubble.c,14600,reverse,1.5,569.1007375717165,bubble.c reverse
bubble.c,14600,sorted,1.5,347.60552644729626,bubble.c sorted
bubble.c,14800,random,0.5,673.1021106243132,bubble.c random
bubble.c,14800,reverse,1.5,543.3809757232665,bubble.c reverse
bubble.c,14800,sorted,1.5,375.0539422035215,bubble.c sorted
bubble.c,15000,random,0.5,687.5195503234866,bubble.c random
bubble.c,15000,reverse,1.5,582.0742845535281,bubble.c reverse
bubble.c,15000,sorted,1.5,364.47024345397926,bubble.c sorted
bubble.c,15200,random,0.5,700.7181346416473,bubble.c random
bubble.c,15200,reverse,1.5,593.3355093002323,bubble.c reverse
bubble.c,15200,sorted,1.5,380.974531173706,bubble.c sorted
bubble.c,15400,random,0.5,742.6445186138154,bubble.c random
bubble.c,15400,reverse,1.5,592.887282371521,bubble.c reverse
bubble.c,15400,sorted,1.5,368.1992888450625,bubble.c sorted
bubble.c,15600,random,0.5,779.0964245796205,bubble.c random
bubble.c,15600,reverse,1.5,598.704218864441,bubble.c reverse
bubble.c,15600,sorted,1.5,387.6428604125975,bubble.c sorted
bubble.c,15800,random,0.5,787.9963219165804,bubble.c random
bubble.c,15800,reverse,1.5,732.0124506950377,bubble.c reverse
bubble.c,15800,sorted,1.5,477.93227434158325,bubble.c sorted
bubble.c,16000,random,0.5,798.1935441493988,bubble.c random
bubble.c,16000,reverse,1.5,688.4229183197023,bubble.c reverse
bubble.c,16000,sorted,1.5,490.66001176834123,bubble.c sorted
bubble.c,16200,random,0.5,1143.846333026885,bubble.c random
bubble.c,16200,reverse,1.5,696.233630180359,bubble.c reverse
bubble.c,16200,sorted,1.5,479.4323444366455,bubble.c sorted
bubble.c,16400,random,0.5,827.9790878295898,bubble.c random
bubble.c,16400,reverse,1.5,714.056670665741,bubble.c reverse
bubble.c,16400,sorted,1.5,516.4198875427245,bubble.c sorted
bubble.c,16600,random,0.5,907.7630341053009,bubble.c random
bubble.c,16600,reverse,1.5,672.3517775535585,bubble.c reverse
bubble.c,16600,sorted,1.5,444.2532658576965,bubble.c sorted
bubble.c,16800,random,0.5,1011.4080011844632,bubble.c random
bubble.c,16800,reverse,1.5,694.6274638175968,bubble.c reverse
bubble.c,16800,sorted,1.5,504.6828389167785,bubble.c sorted
bubble.c,17000,random,0.5,937.1596276760106,bubble.c random
bubble.c,17000,reverse,1.5,753.815293312073,bubble.c reverse
bubble.c,17000,sorted,1.5,482.7852845191957,bubble.c sorted
bubble.c,17200,random,0.5,989.4896149635317,bubble.c random
bubble.c,17200,reverse,1.5,787.579894065857,bubble.c reverse
bubble.c,17200,sorted,1.5,510.76400279998774,bubble.c sorted
bubble.c,17400,random,0.5,900.2163112163544,bubble.c random
bubble.c,17400,reverse,1.5,749.986529350281,bubble.c reverse
bubble.c,17400,sorted,1.5,505.152523517609,bubble.c sorted
bubble.c,17600,random,0.5,928.0090928077699,bubble.c random
bubble.c,17600,reverse,1.5,780.640482902527,bubble.c reverse
bubble.c,17600,sorted,1.5,494.5846796035768,bubble.c sorted
bubble.c,17800,random,0.5,949.6022164821625,bubble.c random
bubble.c,17800,reverse,1.5,773.711919784546,bubble.c reverse
bubble.c,17800,sorted,1.5,483.188033103943,bubble.c sorted
bubble.c,18000,random,0.5,963.822275400162,bubble.c random
bubble.c,18000,reverse,1.5,778.2160043716431,bubble.c reverse
bubble.c,18000,sorted,1.5,493.07882785797096,bubble.c sorted
bubble.c,18200,random,0.5,971.7605710029602,bubble.c random
bubble.c,18200,reverse,1.5,865.1672005653372,bubble.c reverse
bubble.c,18200,sorted,1.5,492.55734682083124,bubble.c sorted
bubble.c,18400,random,0.5,1047.9206442832958,bubble.c random
bubble.c,18400,reverse,1.5,804.0922880172733,bubble.c reverse
bubble.c,18400,sorted,1.5,511.9059681892395,bubble.c sorted
bubble.c,18600,random,0.5,1031.942665576935,bubble.c random
bubble.c,18600,reverse,1.5,840.8724665641785,bubble.c reverse
bubble.c,18600,sorted,1.5,526.1703133583068,bubble.c sorted
bubble.c,18800,random,0.5,1041.698187589645,bubble.c random
bubble.c,18800,reverse,1.5,842.0480489730837,bubble.c reverse
bubble.c,18800,sorted,1.5,521.0852026939392,bubble.c sorted
bubble.c,19000,random,0.5,1124.4024336338025,bubble.c random
bubble.c,19000,reverse,1.5,859.3230247497557,bubble.c reverse
bubble.c,19000,sorted,1.5,534.3725681304929,bubble.c sorted
bubble.c,19200,random,0.5,1101.2416481971763,bubble.c random
bubble.c,19200,reverse,1.5,877.080798149109,bubble.c reverse
bubble.c,19200,sorted,1.5,541.2144064903259,bubble.c sorted
bubble.c,19400,random,0.5,1114.3336296081538,bubble.c random
bubble.c,19400,reverse,1.5,888.3256912231445,bubble.c reverse
bubble.c,19400,sorted,1.5,566.4985775947572,bubble.c sorted
bubble.c,19600,random,0.5,1151.455610990525,bubble.c random
bubble.c,19600,reverse,1.5,955.9550285339352,bubble.c reverse
bubble.c,19600,sorted,1.5,584.2995047569275,bubble.c sorted
bubble.c,19800,random,0.5,1150.7073342800138,bubble.c random
bubble.c,19800,reverse,1.5,920.7062721252443,bubble.c reverse
bubble.c,19800,sorted,1.5,622.169852256775,bubble.c sorted
bubble.c,20000,random,0.5,1174.9775111675262,bubble.c random
bubble.c,20000,reverse,1.5,926.9548654556276,bubble.c reverse
bubble.c,20000,sorted,1.5,579.460203647614,bubble.c sorted
bubble.c,20200,random,0.5,1240.1506602764139,bubble.c random
bubble.c,20200,reverse,1.5,972.0332622528067,bubble.c reverse
bubble.c,20200,sorted,1.5,594.3112373352053,bubble.c sorted
bubble.c,20400,random,0.5,1235.2157235145576,bubble.c random
bubble.c,20400,reverse,1.5,963.1515741348264,bubble.c reverse
bubble.c,20400,sorted,1.5,599.9282002449035,bubble.c sorted
bubble.c,20600,random,0.5,1257.9589486122136,bubble.c random
bubble.c,20600,reverse,1.5,1001.9952654838562,bubble.c reverse
bubble.c,20600,sorted,1.5,636.2054347991942,bubble.c sorted
bubble.c,20800,random,0.5,1278.193771839145,bubble.c random
bubble.c,20800,reverse,1.5,1010.0798010826101,bubble.c reverse
bubble.c,20800,sorted,1.5,625.7172226905823,bubble.c sorted
bubble.c,21000,random,0.5,1286.5640521049513,bubble.c random
bubble.c,21000,reverse,1.5,1027.9732346534724,bubble.c reverse
bubble.c,21000,sorted,1.5,682.1609735488893,bubble.c sorted
bubble.c,21200,random,0.5,1331.28872513771,bubble.c random
bubble.c,21200,reverse,1.5,1063.9779567718524,bubble.c reverse
bubble.c,21200,sorted,1.5,651.0743498802185,bubble.c sorted
bubble.c,21400,random,0.5,1362.8934323787687,bubble.c random
bubble.c,21400,reverse,1.5,1073.9537477493275,bubble.c reverse
bubble.c,21400,sorted,1.5,669.346868991852,bubble.c sorted
bubble.c,21600,random,0.5,1415.4290854930875,bubble.c random
bubble.c,21600,reverse,1.5,1080.759942531585,bubble.c reverse
bubble.c,21600,sorted,1.5,690.7024979591372,bubble.c sorted
bubble.c,21800,random,0.5,1396.8079090118413,bubble.c random
bubble.c,21800,reverse,1.5,1181.200563907625,bubble.c reverse
bubble.c,21800,sorted,1.5,676.4935255050657,bubble.c sorted
bubble.c,22000,random,0.5,1429.0524721145625,bubble.c random
bubble.c,22000,reverse,1.5,1103.320717811585,bubble.c reverse
bubble.c,22000,sorted,1.5,692.2526955604552,bubble.c sorted
bubble.c,22200,random,0.5,1472.2702801227574,bubble.c random
bubble.c,22200,reverse,1.5,1148.1449007988,bubble.c reverse
bubble.c,22200,sorted,1.5,709.771454334259,bubble.c sorted
bubble.c,22400,random,0.5,1485.2142035961149,bubble.c random
bubble.c,22400,reverse,1.5,1194.71126794815,bubble.c reverse
bubble.c,22400,sorted,1.5,706.5157890319825,bubble.c sorted
bubble.c,22600,random,0.5,1530.8637320995326,bubble.c random
bubble.c,22600,reverse,1.5,1194.3526864051826,bubble.c reverse
bubble.c,22600,sorted,1.5,727.1884679794313,bubble.c sorted
bubble.c,22800,random,0.5,1527.7933180332188,bubble.c random
bubble.c,22800,reverse,1.5,1197.1098184585576,bubble.c reverse
bubble.c,22800,sorted,1.5,733.0687642097473,bubble.c sorted
bubble.c,23000,random,0.5,1554.7412633895863,bubble.c random
bubble.c,23000,reverse,1.5,1241.6986823081975,bubble.c reverse
bubble.c,23000,sorted,1.5,778.8288593292237,bubble.c sorted
bubble.c,23200,random,0.5,1600.043416023255,bubble.c random
bubble.c,23200,reverse,1.5,1234.39437150955,bubble.c reverse
bubble.c,23200,sorted,1.5,784.7684621810913,bubble.c sorted
bubble.c,23400,random,0.5,1617.2814965248112,bubble.c random
bubble.c,23400,reverse,1.5,1256.4082741737348,bubble.c reverse
bubble.c,23400,sorted,1.5,784.3499183654785,bubble.c sorted
bubble.c,23600,random,0.5,1672.3621785640712,bubble.c random
bubble.c,23600,reverse,1.5,1289.7399067878725,bubble.c reverse
bubble.c,23600,sorted,1.5,787.4135971069338,bubble.c sorted
bubble.c,23800,random,0.5,1657.8668057918524,bubble.c random
bubble.c,23800,reverse,1.5,1317.5972700119025,bubble.c reverse
bubble.c,23800,sorted,1.5,787.9675030708315,bubble.c sorted
bubble.c,24000,random,0.5,1691.5200948715212,bubble.c random
bubble.c,24000,reverse,1.5,1315.2896761894249,bubble.c reverse
bubble.c,24000,sorted,1.5,820.6947445869448,bubble.c sorted
bubble.c,24200,random,0.5,1737.4185621738425,bubble.c random
bubble.c,24200,reverse,1.5,1342.3649668693574,bubble.c reverse
bubble.c,24200,sorted,1.5,830.2112221717838,bubble.c sorted
bubble.c,24400,random,0.5,1741.8752312660213,bubble.c random
bubble.c,24400,reverse,1.5,1382.8845620155325,bubble.c reverse
bubble.c,24400,sorted,1.5,838.232696056366,bubble.c sorted
bubble.c,24600,random,0.5,1777.6796817779536,bubble.c random
bubble.c,24600,reverse,1.5,1391.4523124694852,bubble.c reverse
bubble.c,24600,sorted,1.5,916.6398644447335,bubble.c sorted
